Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"FOSFATO OSELTAMIVIR 75 MG - TAMIFLU","CAF",91.30,"3","3","","correto","6","6","","correto","7","7","","correto","7","7","","correto","7","7","","correto","20","20","","correto","7","7","","correto","31","31","","correto","260","260","","correto","30","30","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","23","23","","correto","780","780","","correto","780","730","50","incorreto","1214","1214","","correto",
"METOCLOPRAMIDA 10 MG/ 2ML","CAF",86.96,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","300","300","","correto","300","200","100","incorreto","100","100","","correto",
"ENOXAPARINA SÓDICA 40 MG/0,4ML - CLEXANE","CAF",78.26,"3","3","","correto","7","7","","correto","11","11","","correto","14","14","","correto","22","22","","correto","41","41","","correto","19","19","","correto","66","66","","correto","86","86","","correto","32","32","","correto","35","35","","correto","32","32","","correto","40","40","","correto","40","40","","correto","31","31","","correto","35","35","","correto","24","24","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","37","40","-3","incorreto","258","640","-382","incorreto","15","363","-348","incorreto","1932","1932","","correto",
"HIDROCORTISONA, SUCCINATO 500 MG - PÓ P/ SOL. INJ","CAF",82.61,"4","4","","correto","7","7","","correto","11","11","","correto","12","12","","correto","17","17","","correto","31","31","","correto","14","14","","correto","44","44","","correto","92","92","","correto","18","18","","correto","15","15","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","22","20","2","incorreto","276","320","-44","incorreto","191","235","-44","incorreto","1164","1164","","correto",
"DESPACILINA - BENZILPENICILINA PROCAINA 300.000UI + BENZILPENICILINA OTASSICA 100.000UI","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","100","100","","correto","0","0","","correto","0","0","","correto","0","0","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","3","4","-1","incorreto","300","300","","correto","300","300","","correto","200","200","","correto",
"ACIDO TRANEXAMICO 50 MG/ML -AMP (TRANSAMIN)","CAF",82.61,"3","3","","correto","5","5","","correto","8","8","","correto","11","11","","correto","15","15","","correto","26","26","","correto","13","13","","correto","37","37","","correto","50","50","","correto","10","10","","correto","10","10","","correto","15","15","","correto","10","10","","correto","10","10","","correto","15","15","","correto","10","10","","correto","15","15","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","12","15","-3","incorreto","150","240","-90","incorreto","-51","39","-90","incorreto","634","634","","correto",
"CLORETO DE SODIO 20% - 10 ML","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","9","9","","correto","6","6","","correto","6","6","","correto","8","8","","correto","8","8","","correto","8","8","","correto","8","8","","correto","8","8","","correto","6","6","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","27","27","","correto","27","0","27","incorreto","16","16","","correto",
"METOCLOPRAMIDA 10 MG","CAF",78.26,"4","4","","correto","7","7","","correto","9","9","","correto","13","13","","correto","22","22","","correto","42","42","","correto","19","19","","correto","75","75","","correto","260","260","","correto","50","50","","correto","60","60","","correto","60","60","","correto","40","40","","correto","50","50","","correto","60","60","","correto","40","40","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","98","60","38","incorreto","780","960","-180","incorreto","780","0","780","incorreto","5120","5120","","correto",
"TERBUTALINA 0,5MG/ML","CAF",78.26,"2","2","","correto","4","4","","correto","8","8","","correto","12","12","","correto","14","14","","correto","28","28","","correto","12","12","","correto","38","38","","correto","15","15","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","1","2","-1","incorreto","45","32","13","incorreto","45","0","45","incorreto","102","102","","correto",
"ANESTESICO COLIRIO","CAF",82.61,"0","0","","correto","1","0","1","incorreto","2","2","","correto","4","3","1","incorreto","5","5","","correto","18","18","","correto","4","4","","correto","25","25","","correto","2","2","","correto","0","0","","correto","1","0","1","incorreto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","6","6","","correto","6","6","","correto","33","33","","correto",
"DEXAMETASONA 4 MG","CAF",78.26,"2","2","","correto","5","5","","correto","8","8","","correto","11","11","","correto","19","19","","correto","40","40","","correto","16","16","","correto","68","68","","correto","180","180","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","30","30","","correto","50","50","","correto","35","35","","correto","50","50","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","71","50","21","incorreto","540","800","-260","incorreto","-2390","0","-2390","incorreto","3730","3730","","correto",
"FLUCONAZOL 150 MG","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","48","48","","correto","21","21","","correto","84","84","","correto","70","70","","correto","13","13","","correto","13","13","","correto","14","14","","correto","14","14","","correto","12","12","","correto","12","12","","correto","14","14","","correto","14","14","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","14","14","","correto","224","224","","correto","-351","0","-351","incorreto","1599","1599","","correto",
"LOSARTANA POTASSICA 50MG","CAF",78.26,"4","4","","correto","5","5","","correto","8","8","","correto","11","11","","correto","18","18","","correto","28","28","","correto","15","15","","correto","41","41","","correto","45","45","","correto","15","15","","correto","15","15","","correto","23","23","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","20","30","-10","incorreto","135","480","-345","incorreto","75","375","-300","incorreto","1080","1080","","correto",
"SUSTAGEN ADULTOS+","CAF",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","5","5","","correto","11","11","","correto","5","5","","correto","11","11","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","6","0","6","incorreto","22","22","","correto",
"NALTREXONA 50 MG","CAF",86.96,"0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","2","2","","correto","4","4","","correto","2","2","","correto","4","4","","correto","60","60","","correto","0","0","","correto","0","0","","correto","60","60","","correto","45","45","","correto","45","45","","correto","30","30","","correto","45","45","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","3","-1","incorreto","180","180","","correto","180","30","150","incorreto","150","150","","correto",
"CAPTOPRIL 25 MG","CAF",65.22,"4","4","","correto","7","7","","correto","11","11","","correto","14","14","","correto","23","23","","correto","48","48","","correto","19","20","-1","incorreto","82","83","-1","incorreto","380","380","","correto","90","110","-20","incorreto","80","80","","correto","90","90","","correto","120","110","10","incorreto","100","100","","correto","120","120","","correto","120","110","10","incorreto","120","120","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","120","120","","correto","1920","1920","","correto","520","40","480","incorreto","11060","11160","-100","incorreto",
"LACTULOSE XAROPE 120 ML","CAF",78.26,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","24","24","","correto","43","43","","correto","20","20","","correto","68","68","","correto","24","24","","correto","12","12","","correto","6","6","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","6","12","-6","incorreto","72","192","-120","incorreto","-134","0","-134","incorreto","361","361","","correto",
"METRONIDAZOL 100 MG/G - GEL VAGINAL","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","23","23","","correto","47","47","","correto","20","20","","correto","81","81","","correto","9","9","","correto","5","5","","correto","6","6","","correto","5","5","","correto","5","5","","correto","4","4","","correto","3","3","","correto","5","5","","correto","3","3","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","6","6","","correto","96","96","","correto","-73","0","-73","incorreto","281","281","","correto",
"FRALDA DESC GERIATRICA - M","CAF",91.30,"1","1","","correto","3","3","","correto","4","4","","correto","4","4","","correto","6","6","","correto","19","19","","correto","6","6","","correto","43","43","","correto","240","240","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","69","69","","correto","720","720","","correto","720","0","720","incorreto","3598","3598","","correto",
"MIRABEGRONA 50MG","CAF",95.65,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","30","30","","correto","0","0","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","90","90","","correto","90","90","","correto","30","30","","correto",
"IBUPROFENO 50MG/ML - GOTAS","CAF",78.26,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","42","42","","correto","22","22","","correto","46","46","","correto","20","20","","correto","6","6","","correto","6","6","","correto","7","7","","correto","6","6","","correto","5","5","","correto","6","6","","correto","6","6","","correto","6","6","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","5","7","-2","incorreto","60","112","-52","incorreto","-210","0","-210","incorreto","309","309","","correto",
"CARVEDILOL 6,25 MG","CAF",52.17,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","82","83","-1","incorreto","360","360","","correto","225","240","-15","incorreto","225","225","","correto","210","225","-15","incorreto","210","210","","correto","180","195","-15","incorreto","180","180","","correto","180","195","-15","incorreto","150","150","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","225","240","-15","incorreto","3600","3840","-240","incorreto","3600","2940","660","incorreto","12360","12600","-240","incorreto",
"ACIDO FOLICO 5MG","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","700","700","","correto","300","300","","correto","300","300","","correto","300","300","","correto","280","280","","correto","300","300","","correto","280","280","","correto","300","300","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","300","300","","correto","4800","4800","","correto","-280","0","-280","incorreto","24450","24450","","correto",
"CEFTRIAXONA 1 G - PÓ P/ SOL. INJ EV","CAF",43.48,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","173","173","","correto","101","101","","correto","101","91","10","incorreto","101","91","10","incorreto","105","101","4","incorreto","101","96","5","incorreto","84","84","","correto","103","101","2","incorreto","79","80","-1","incorreto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","105","101","4","incorreto","1680","1616","64","incorreto","1680","1268","412","incorreto","7518","7600","-82","incorreto",
"GLICOSE 25% - 10 ML","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","4","4","","correto","7","7","","correto","12","12","","correto","6","6","","correto","22","22","","correto","35","35","","correto","10","10","","correto","10","10","","correto","15","15","","correto","10","10","","correto","10","10","","correto","13","13","","correto","10","10","","correto","13","13","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","7","7","","correto","105","105","","correto","105","5","100","incorreto","370","370","","correto",
"FENOBARBITAL 40 MG/ML - GOTAS","CAF",91.30,"3","3","","correto","4","4","","correto","4","4","","correto","5","5","","correto","8","8","","correto","14","14","","correto","7","7","","correto","15","15","","correto","8","8","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","24","24","","correto","11","7","4","incorreto","70","70","","correto",
"POLIVITAMINICO GTS","CAF",86.96,"2","2","","correto","2","2","","correto","4","4","","correto","6","6","","correto","11","11","","correto","23","23","","correto","10","10","","correto","25","25","","correto","6","6","","correto","2","2","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","18","18","","correto","18","13","5","incorreto","47","47","","correto",
"CARVEDILOL 25 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","88","88","","correto","420","420","","correto","150","150","","correto","150","150","","correto","165","165","","correto","180","180","","correto","180","180","","correto","180","180","","correto","180","180","","correto","180","180","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","180","180","","correto","2880","2880","","correto","1560","1080","480","incorreto","15765","15765","","correto",
"DESVENLAFAXINA 50MG","CAF",86.96,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","30","30","","correto","0","0","","correto","0","0","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","90","90","","correto","90","0","90","incorreto","30","30","","correto",
"NITRAZEPAN 5 MG","CAF",86.96,"2","2","","correto","3","3","","correto","4","4","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","80","80","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","4","5","-1","incorreto","240","240","","correto","240","80","160","incorreto","240","240","","correto",
"CARBAMAZEPINA SUSP. 100 ML- 20 MG/ML","CAF",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","6","6","","correto","11","11","","correto","5","5","","correto","19","19","","correto","8","8","","correto","5","5","","correto","6","6","","correto","6","6","","correto","6","6","","correto","7","7","","correto","6","6","","correto","7","7","","correto","6","6","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","2","","correto","24","24","","correto","-36","0","-36","incorreto","115","115","","correto",
"HEPARINA SÓDICA 5.000 UI","CAF",86.96,"0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","3","3","","correto","5","5","","correto","25","25","","correto","0","0","","correto","1","1","","correto","1","1","","correto","6","6","","correto","10","10","","correto","10","10","","correto","10","10","","correto","10","10","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","75","75","","correto","75","16","59","incorreto","47","47","","correto",
"TIBOLONA 1,25MG","CAF",82.61,"4","4","","correto","8","8","","correto","11","11","","correto","14","14","","correto","22","22","","correto","42","42","","correto","19","19","","correto","62","62","","correto","245","245","","correto","56","56","","correto","70","70","","correto","70","70","","correto","65","65","","correto","70","70","","correto","70","70","","correto","70","70","","correto","70","70","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","99","70","29","incorreto","735","1120","-385","incorreto","7","392","-385","incorreto","5160","5160","","correto",
"CARBONATO DE CALCIO 1.250MG + VITAMINA D 400UI","CAF",78.26,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","25","25","","correto","39","39","","correto","21","21","","correto","39","39","","correto","210","210","","correto","120","120","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","74","120","-46","incorreto","630","1920","-1290","incorreto","-390","660","-1050","incorreto","3855","3855","","correto",
"RIVAROXABANA 20MG (XARELTO)","CAF",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","8","8","","correto","13","13","","correto","6","6","","correto","17","17","","correto","60","60","","correto","30","30","","correto","30","30","","correto","30","30","","correto","45","45","","correto","30","30","","correto","30","30","","correto","45","45","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","12","12","","correto","180","180","","correto","180","90","90","incorreto","628","628","","correto",
